run_id,label,canary_writes,llm_packets,llm_total_bytes,llm_packet_rate
baseline_44,baseline,0,2,626,0.22449610141661408
baseline_47,baseline,1,5,3006,0.5863428272038271
baseline_04,baseline,3,6,2931,1.1843875199670058
baseline_55,baseline,2,2,683,0.2657348418982605
baseline_26,baseline,0,3,1188,0.2992389863130905
attack_04,attack,23,25,9505,6.460434723599132
attack_13,attack,18,18,9626,2.9464150191048177
baseline_10,baseline,0,2,1064,0.35355260979143954
baseline_40,baseline,1,2,688,0.23459038924943626
attack_47,attack,5,50,25280,21.389853558054238
baseline_18,baseline,2,5,1842,0.6898751847871701
attack_02,attack,13,37,20829,7.598536470534028
baseline_11,baseline,3,3,1613,0.41302390559056046
baseline_36,baseline,0,6,2881,0.6840184589338417
attack_29,attack,14,23,11349,7.043378154953242
attack_31,attack,22,13,7501,3.8327726301079377
attack_49,attack,19,41,20534,9.918494963667795
baseline_00,baseline,1,3,1268,0.432206834777011
attack_28,attack,13,32,15474,23.10274064560977
attack_44,attack,12,38,20343,9.006623085121017
attack_05,attack,15,21,11754,6.0841243281226385
baseline_45,baseline,1,5,2036,0.8651808373364519
baseline_31,baseline,0,3,1419,0.4575344066928763
attack_10,attack,11,32,16437,6.303291016528417
baseline_42,baseline,0,2,838,0.44337757689925184
baseline_12,baseline,1,1,385,0.11516609522402291
baseline_15,baseline,1,1,311,0.1331656456815662
attack_54,attack,15,23,14361,3.7432521430099626
attack_16,attack,16,38,20248,6.526247152929279
attack_37,attack,14,22,17330,2.966289112783006
baseline_24,baseline,1,4,1806,0.5806066721130803
attack_18,attack,9,28,11555,9.901658457883673
baseline_22,baseline,0,2,1025,0.26783711414187394
attack_36,attack,17,38,23977,7.098594268645927
baseline_56,baseline,0,4,1390,0.47886844290595415
attack_50,attack,20,30,18891,4.340484487441187
baseline_30,baseline,0,4,1493,0.4999894510861371
baseline_53,baseline,0,3,1275,0.2741482592689305
attack_58,attack,16,38,24555,11.019162570954098
baseline_09,baseline,1,3,871,0.2172317753376768
baseline_33,baseline,1,1,402,0.1281159922726436
baseline_25,baseline,0,2,471,0.22363667336378296
attack_09,attack,12,32,22637,5.816656064088551
baseline_28,baseline,2,3,907,0.34468841066216205
attack_38,attack,12,32,17810,10.10599122161781
attack_25,attack,14,23,11900,3.346951556515538
baseline_05,baseline,0,5,2171,0.4078804385442206
attack_30,attack,18,17,12925,3.7286166959820415
attack_08,attack,15,28,21382,5.721315427387898
baseline_39,baseline,1,3,1162,0.2889537070265925
baseline_49,baseline,0,3,995,0.4045494210134072
baseline_35,baseline,0,3,1121,0.26913771440139567
baseline_16,baseline,1,2,656,0.20932161147891123
attack_06,attack,15,24,8666,7.659674731764543
baseline_34,baseline,0,3,1083,0.2461773455037324
attack_53,attack,11,28,16265,4.817869547357673
baseline_07,baseline,3,6,2487,1.0333373855325234
baseline_43,baseline,1,7,2898,0.7103082084331191
attack_12,attack,16,27,6594,4.251783135546258
attack_07,attack,17,33,13879,8.999662847708132
attack_23,attack,10,31,19882,11.001622209336082
baseline_27,baseline,1,3,997,0.360973531666732
baseline_19,baseline,0,6,2397,0.7759603278551023
attack_35,attack,10,45,27710,12.019857144173072
attack_40,attack,20,27,14746,3.4920047361207844
baseline_08,baseline,3,2,604,0.17132342207022522
baseline_13,baseline,0,4,1477,0.3491194900036515
attack_24,attack,9,38,25847,5.425254931465854
baseline_03,baseline,1,4,1468,0.891952603908699
baseline_17,baseline,2,4,1805,0.45098207355628006
baseline_38,baseline,2,5,2534,0.865774321979729
attack_57,attack,11,35,23783,6.0271549229938595
baseline_06,baseline,1,4,2091,0.7373061451419701
attack_17,attack,12,33,21641,6.247680334232387
attack_51,attack,18,34,19668,8.377234362764653
attack_34,attack,20,27,20914,8.346012263239528
baseline_54,baseline,0,2,992,0.6976704147542745
baseline_50,baseline,0,3,1131,0.3849597032408967
attack_20,attack,16,45,27537,8.344066711013065
baseline_46,baseline,1,2,836,0.28340853922152526
attack_21,attack,15,46,27124,12.601159159981265
attack_01,attack,13,15,9817,1.862750100340953
attack_56,attack,10,23,15750,9.305697748256504
attack_19,attack,11,32,18058,6.533239385755313
attack_33,attack,24,26,14219,3.2516482620802885
baseline_41,baseline,0,2,764,0.22320714092387495
baseline_58,baseline,3,4,1547,0.551254937301991
baseline_48,baseline,1,4,2200,0.4935265603684249
attack_41,attack,19,31,20282,12.290071320744724
baseline_57,baseline,1,6,1369,0.6983249993370001
attack_15,attack,24,27,17609,6.715372545771767
baseline_32,baseline,1,2,587,0.23166948439596569
attack_52,attack,19,29,16518,7.1692082647188675
baseline_59,baseline,1,3,945,0.6686642736884146
attack_03,attack,17,25,17806,5.50736589287945
attack_45,attack,18,20,14754,3.216001831171571
baseline_37,baseline,0,4,1772,0.6178669595243007
baseline_29,baseline,1,5,1648,0.6168034002185433
attack_55,attack,16,33,15806,5.8179007168065064
baseline_01,baseline,2,2,1008,0.32019065721100926
baseline_52,baseline,3,4,1410,0.4816303172248664
baseline_21,baseline,0,4,1708,0.5316566645779003
baseline_02,baseline,3,4,1670,0.5120671903272952
baseline_23,baseline,3,1,407,0.11814270528826883
attack_43,attack,21,27,18265,6.186147940891758
attack_39,attack,14,26,12663,4.838510809107866
attack_27,attack,12,29,23068,5.229765692007386
attack_48,attack,7,31,12326,5.369717519017842
attack_14,attack,22,38,33837,7.982308618057939
attack_26,attack,17,32,22647,6.924572366557308
attack_22,attack,19,30,20846,5.676695083569462
attack_59,attack,16,32,21337,5.97805214120371
baseline_20,baseline,1,8,3095,1.5237490430870333
attack_00,attack,14,28,15838,5.142684704344664
attack_11,attack,20,40,16787,10.385032656815584
attack_46,attack,21,30,9380,5.594416465328304
baseline_14,baseline,0,3,1550,0.49781906767885625
attack_32,attack,15,21,16137,3.4587288768101265
baseline_51,baseline,3,3,848,0.40021103161922106
attack_42,attack,17,34,14011,11.044712215216277
